id,name,state_id,state_code,country_id,country_code,latitude,longitude
23122,Strašice,4608,324,58,CZ,49.73552,13.75755
23123,Strmilov,4639,31,58,CZ,49.15846,15.19934
23124,Strunkovice nad Blanicí,4639,31,58,CZ,49.08402,14.05522
23125,Strání,4563,724,58,CZ,48.90216,17.70671
23126,Stráž,4608,324,58,CZ,49.66878,12.77546
23127,Stráž nad Nisou,4601,51,58,CZ,50.79099,15.02683
23128,Stráž pod Ralskem,4601,51,58,CZ,50.7028,14.80102
23129,Strážnice,4602,64,58,CZ,48.90102,17.3168
23130,Strážná,4589,71,58,CZ,49.83104,17.13275
23131,Strážov,4608,324,58,CZ,49.30326,13.24623
23132,Studenec,4601,51,58,CZ,50.55344,15.54936
23133,Studená,4639,31,58,CZ,49.18516,15.28688
23134,Studénka,4600,80,58,CZ,49.72342,18.07853
23135,Stěbořice,4600,80,58,CZ,49.93708,17.80547
23136,Stěžery,4614,52,58,CZ,50.21572,15.74831
23137,Střelice,4602,64,58,CZ,49.15221,16.50399
23138,Stříbro,4608,324,58,CZ,49.75565,12.997
23139,Střížkov,4598,10,58,CZ,50.12674,14.49363
23140,Suchdol,4554,20,58,CZ,49.95247,15.16651
23141,Suchdol nad Lužnicí,4639,31,58,CZ,48.89,14.8772
23142,Suchohrdly,4602,64,58,CZ,48.86822,16.09471
23143,Suchá Loz,4563,724,58,CZ,48.97001,17.71379
23144,Sudkov,4589,71,58,CZ,49.91903,16.94516
23145,Sudoměřice,4602,64,58,CZ,48.86723,17.25676
23146,Sušice,4608,324,58,CZ,49.23106,13.52018
23147,Svatava,4581,41,58,CZ,50.19223,12.62524
23148,Sviadnov,4600,80,58,CZ,49.68926,18.32762
23149,Svitavy,4588,53,58,CZ,49.75594,16.46829
23150,Svitávka,4602,64,58,CZ,49.50178,16.59793
23151,Svoboda nad Úpou,4614,52,58,CZ,50.62596,15.81648
23152,Svratka,4575,63,58,CZ,49.71066,16.03214
23153,Světlá nad Sázavou,4575,63,58,CZ,49.66801,15.40393
23154,Sázava,4554,20,58,CZ,49.87164,14.89674
23155,Tachov,4608,324,58,CZ,49.79528,12.63365
23156,Tanvald,4601,51,58,CZ,50.73735,15.30585
23157,Tasovice,4602,64,58,CZ,48.8361,16.15558
23158,Telnice,4602,64,58,CZ,49.10187,16.71774
23159,Telč,4575,63,58,CZ,49.18418,15.45275
23160,Teplice,4576,42,58,CZ,50.6404,13.82451
23161,Teplice nad Metují,4614,52,58,CZ,50.59332,16.17026
23162,Terezín,4576,42,58,CZ,50.511,14.15055
23163,Tečovice,4563,724,58,CZ,49.22107,17.58733
23164,Tichá,4600,80,58,CZ,49.56999,18.22148
23165,Tišice,4554,20,58,CZ,50.2698,14.55411
23166,Tišnov,4602,64,58,CZ,49.34872,16.42438
23167,Tlumačov,4563,724,58,CZ,49.25351,17.49559
23168,Tlučná,4608,324,58,CZ,49.72425,13.23534
23169,Topolná,4563,724,58,CZ,49.12187,17.54434
23170,Toužim,4581,41,58,CZ,50.06049,12.98506
23171,Tovačov,4589,71,58,CZ,49.43083,17.28795
23172,Traplice,4563,724,58,CZ,49.13088,17.43622
23173,Trhové Sviny,4639,31,58,CZ,48.84231,14.63924
23174,Trhový Štěpánov,4554,20,58,CZ,49.71147,15.01356
23175,Trmice,4576,42,58,CZ,50.64286,13.99449
